医院名称,等级,分类,科室,医生,主任医师,副主任医师,主治医师,医院地址1,医院地址2,床位数,日门诊量,建院时间,医院简介,徽标,Y,X
航天中心医院,三级,部属厂矿高校医院,36,323,95,104,124,北京市海淀区玉泉路15号,,900,1682,1958,航天中心医院是集医疗、教学、科研于一体的大型三级综合性医院，是北京大学的临床医学院、北京急救中心西区分中心、航天体检中心、国家临床药理试验机构、北京市职业健康检查机构、北京市工伤定点医疗机构，是全国百姓放心百佳示范医院。,http://pimg.39.net//PictureLib/A/f4/c3//org/13417024458600.jpg,39.9165191650005,116.251770020001
北京回龙观医院,三级甲等,北京市卫生局直属医院,17,109,37,45,27,北京市昌平区回龙观,,1369,45,1986,北京回龙观医院是一所大型公立精神卫生专科医院、是首批获得国家精神病临床重点专科的单位。医院位于北京市德胜门外，占地面积14.7万平方米，设置病床1369张，现有职工1200余人，是北京市卫生局直属三级甲等医院、北京大学教学医院、中法友好合作医院、中国科学院心理研究所临床心理学教学医院、北京市心理危机研究与干预中心、北京市心理援助热线、世界卫生组织心理危机预防研究与培训合作中心、北京市专科医师培训基地、国家药物临床试验机构。,http://pimg.39.net//PictureLib/A/f4/c3//org/13417024547681.jpg,40.2160758970004,116.340583801001
北京华信医院,三级,部属厂矿高校医院,36,186,51,109,26, 北京市朝阳区酒仙桥一街坊6号,,760,2329,1959,医院前身为国家信息产业部(前为四机部、机电部、电子工业部)的直属医院，创办于1959年2月，先后称为电子总医院、401医院、北京酒仙桥医院。1994年被北京市卫生局评定为三级医院和爱婴医院，1995年起被北京市列为大病统筹定点医院、公费医疗定点医院和首批医保定点医院。2003年4月划归国家教育部成为清华大学附属医院。,http://pimg.39.net//PictureLib/A/f4/c3//org/13417024447991.jpg,39.9510116580005,116.513648987001
煤炭总医院,三级,部属厂矿高校医院,38,221,84,88,49,北京市朝阳区西坝河南里29号,,515,1300,1993,在抗击"非典"的战斗中，煤炭总医院作为首批"非典"医院在收治180例SARS病人的严重形势下，以高治愈率，低死亡率的医疗质量位居北京医疗机构前列，以病人之间零交叉感染、全员职工零感染的辉煌业绩被国内外广泛报道而受到党和政府的表彰。中德心脏中心的成立，揭开了国际合作，走向世界的新篇章。 技术上一流，服务无止境，煤炭总医院全体职工正以饱满的热情，坚定的信心，在"内抓管理，外树形象，创建人民满意医院"的大路上阔步前进!,http://pimg.39.net//PictureLib/A/f4/c3//org/13417024446256.jpg,39.9716911320005,116.533203125001
民航总医院,三级,部属厂矿高校医院,35,158,27,49,82,北京市朝外高井甲1号,,500,2400,1974,民航总医院位于北京市朝阳区东部、朝阳路旁，是一所设备先进、科室齐全、服务优良、集医教研防于一体的三级综合性医院。,http://images.guahao114.com/img/141.jpg,39.9450340270005,116.136352539001
中国康复研究中心北京博爱医院,三级甲等,北京市卫生局直属医院,29,116,50,51,15,北京市丰台区角门北路10号,,1100,489,1989,中国康复研究中心是集康复医疗、康复科学技术研究、康复人才培养、康复信息服务、康复工程研究以及社会服务指导于一体的综合性康复机构和技术资源中心。她由职能处室、业务科室、康复信息研究所、康复工程研究所、康复医学研究所、康复医学院、社会服务指导中心等部门组成。“中心”占地面积近300亩，建筑面积15万平方米，员工1373多人。,http://images.guahao114.com/img/153.jpg,39.8500556950005,116.379295349001
北京大学首钢医院,三级,北京大学附属医院,32,144,43,75,26,北京市石景山区晋元庄路9号,,1006,2742,1949,北京大学首钢医院是一所集医疗、教学、科研、预防保健为一体的三级综合医院，始建于1949年10月。2002年，首钢总公司与北京大学签订联合办院协议，医院更名为北京大学首钢医院，成为北京大学附属医院，北京大学教学医院、北京大学临床学院。,http://images.guahao114.com/img/150.jpg,39.9284439090005,116.203269958001
首都医科大学附属北京胸科医院,三级甲等,北京市卫生局直属医院,17,105,43,52,10,北京市通州区马厂97号,,900,463,1955,北京市结核病胸部肿瘤研究所、首都医科大学附属北京胸科医院是以胸科疾病和结核病患者群体为主要服务对象，集医疗、科研、教学、预防为一体的三级甲等专科医院。创建于1955年，原名“中央结核病研究所、中央直属结核病医院”，兼设“WHO结核病研究培训合作中心”、“国家药物临床试验机构”、“中国CDC结核病防治临床中心”、“北京肺癌诊疗中心”、“北京骨关节结核诊疗中心”，是国家首批博士和硕士学位授予单位。,http://images.guahao114.com/img/107.jpg,39.9238128660004,116.656997681001
北京三博脑科医院,三级,北京市卫生局直属医院,6,33,19,9,5,北京市海淀区香山一棵松50号,,300,9,2004,北京三博脑科医院是一家以博医、博教、博研为宗旨创建的学院型医院。始建于2004年，前身是北京三博复兴脑科医院。2006年成为首批卫生部神经外科专科医师培训基地，2007年与天坛、宣武医院组建首都医科大学神经外科学院，成为学院三系。2010年成为首都医科大学第十一临床医学院、首医博士点、硕士点。同时还是北京市首批三级专科民营医院、三级专科医保定点和新农合定点医疗机构，也是中国抗癫痫协会临床实践与培训基地、中国医师协会神经调控专业委员会会长单位。,http://pimg.39.net//PictureLib/A/f4/c3//org/13417024506913.jpg,40.0269203190004,116.233215332001
中国中医科学院眼科医院,三级,中国中医科学院,12,75,17,22,36,北京市石景山区鲁谷路9号,,204,800,1986,"中国中医科学院眼科医院于1986年经卫生部批准兴建,成立于1994年，是一所中医、中西医结合的眼病专科医院，是北京市基本医疗保险定点医院，三级中医医院。",http://pimg.39.net//PictureLib/A/f4/c3//org/13417024541149.jpg,39.9040489200005,116.250007629001
北京中医药大学第三附属医院,三级,北京中医药大学,25,130,30,54,46, 北京市朝阳区安定门外小关街51号,,431,1800,1964,"北京中医药大学第三附属医院(原北京冶金医院),始建于1964年，2006年7月划转至北京中医药大学，2007年7月成为北京中医药大学第三临床医学院。是北京市医保定点医院，现为三级中西医结合医院，设有床位520张。骨伤科、脑病科是国家中医药管理局重点专科建设单位，中医全科医学、中医骨伤科学是国家中医药管理局重点学科。",http://pimg.39.net//PictureLib/A/f4/c3//org/13417024451038.jpg,39.9778900150005,116.408477783001
中国人民解放军第三〇五医院,三级,驻京部队医院,30,79,32,28,19,北京市西城区文津街甲13号,,500,1000,1969,经过40年的建设和发展，医院已成为一所集保健、医疗、教学、科研和预防于一体的三级甲等综合医院，是“全军老年病中心”，“全军冠心病诊治中心”，“解放军第三军医大学临床教学医院”，“南方医科大学临床教学医院”，北京市首批医疗保险定点医院。,http://images.guahao114.com/img/144.jpg,39.9247016910004,116.384727478001
北京航天总医院,三级,部属厂矿高校医院,36,169,42,105,22,北京市丰台区东高地万源北路7号,,550,1700,1958,北京航天总医院始建于1958年，隶属于中国航天科技集团公司，是北京南郊地区规模最大的一所三级综合性医院。承担着航天科技集团公司数万名员工的职业病防治、检工作，肩负着大型飞行试验的医疗保障任务和广大职工家属以及周边约50万居民的医疗、护理、健康管理、预防保健工作。本院与解放军总医院第一附属医院(304医院)都是大型综合性医院，304医院在政府的和医疗卫生部门的领导下，借鉴国际前沿的医疗模式，我们在继承和挖掘科学技术的同时，又培养了新型现代肿瘤生物免疫治疗后起之秀;始终秉承一切为任命健康服务的宗旨，以精准的诊疗方法最大限度的减少患者的精神、肉体痛苦和财务损失;在医护人员中间深化“以病人为先”的服务理念。,http://pimg.39.net//PictureLib/A/f4/c3//org/13417024531696.jpg,39.8040618900004,116.418838501001
北京燕化工公司职工医院,三级,部属厂矿高校医院,26,115,31,42,42,北京市房山区燕山迎风街15号,,670,1000,2005,北京燕化医院位于北京市房山区，占地7.4万平方米，原为国家特大型企业燕山石化公司的职工医院，2005年1月医院改制为股份制医院，是北京西南地区一家大型三级非营利性综合医院，北京市医疗保险定点医院。,http://pimg.39.net//PictureLib/A/f4/c3//org/13417024546446.jpg,39.7299613950005,115.955627441001
北京市宣武区中医院,三级,北京区县属医院,5,55,16,36,3,北京市西城区万明路甲8号,,300,1200,1906,北京市宣武中医医院隶属宣武卫生局，是一所集医疗、科研、教学、预防、保健、康复为一体的综合性“三级乙等中医医院”，是北京中医药大学和首都医科大学中医药学院的临床教学医院。在医疗上具有鲜明的专科特色。,http://pimg.39.net//PictureLib/A/f4/c3//org/13417024518179.jpg,39.8875312810005,116.389518738001
北京电力医院,三级,部属厂矿高校医院,38,124,57,54,13,北京市丰台区太平桥西里甲1号,,1000,1600,1989,北京电力医院成立于1989年，位处北京西客站南侧，北临古莲花池，西接京港澳高速公路入口。是一所学科齐全、设备先进、技术精良，集医疗、教学、科研、预防等为一体的三级综合医院。目前编制床位518张(改扩建期间开放370 张，2013年6月改扩建完成后预计开放病床1000张)。现有各类员工1000余人，博士、硕士近百名，具有高级技术职称的达到150人，有30余人任北京市各临床专业委员会委员和首都医科大学各临床学系委员，其中主任、副主任委员3人。首都医科大学研究生导师3人，已有2名硕士进站。同时建立了由 150名有影响力知名专家组成的专家会诊库，为系统内服务和医疗质量提供了保障。,http://pimg.39.net//PictureLib/A/f4/c3//org/13417024534367.jpg,39.8863525390005,116.315895081001
北京老年医院,三级,北京市卫生局直属医院,33,100,14,44,42,北京市海淀区温泉路118号,,600,978,1949,北京老年医院是直属北京市卫生局的三级综合医院，是市基本医疗保险及工伤定点医院。作为北京中医药大学附属医院、中科院生物所合作伙伴和首都医科大学第六临床医学院教学基地，医院承担着多项科研项目和临床教学工作。医院编制床位六百张，职工近千人。,http://pimg.39.net//PictureLib/A/f4/c3//org/13417024503788.jpg,40.0537986760005,116.134391785001
北京京煤集团总医院,三级,部属厂矿高校医院,25,202,15,50,137,北京市门头沟区黑山大街18号,,1486,548,1956,北京京煤集团总医院(原北京矿务局总医院)，坐落在环境幽雅、依山傍水的永定河畔，地处门头沟区中心，是京西地区唯一一家集医疗、教学、科研、预防和康复医疗服务为一体，面向全社会开放的三级综合性医院。2002年成为北京大学教学医院及北大医院医疗集团成员之一.,http://images.guahao114.com/img/155.jpg,39.9396972660005,116.095855713001
中国人民解放军二六一医院,三级,驻京部队医院,24,100,20,30,50,北京市海淀区上庄镇皂甲屯村116号,,600,1700,1949,中国人民解放军第二六一医院位于北京市海淀区上庄镇，是一所以生物诊疗中心、综合治疗科、精神病科、神经内外科、消化呼吸内科、心血管内科、骨科、普通外科、妇产科、眼科为特色的现代化综合性三级乙等医院，全面实现了微机网络化管理，是北京市首批“基本医疗保险定点医院”，北京市工伤保险定点医疗机构，北京市中小学生及婴幼儿住院互助金定点医疗机构，北京市农民医疗保险定点医疗机构。,http://pimg.39.net//PictureLib/A/f4/c3//org/13417030115044.jpg,40.1144371030005,116.220367432001
